disability,limitation,accommodation
Addison's Disease,Decreased Stamina/Fatigue,Anti-fatigue Matting
Addison's Disease,Decreased Stamina/Fatigue,Elevating Wheelchairs
Addison's Disease,Decreased Stamina/Fatigue,Ergonomic Equipment
Addison's Disease,Decreased Stamina/Fatigue,Scooters
Addison's Disease,Decreased Stamina/Fatigue,Stand-lean Stools
Addison's Disease,Decreased Stamina/Fatigue,Walkers
Addison's Disease,Decreased Stamina/Fatigue,Wearable Anti-fatigue Matting
Addison's Disease,Decreased Stamina/Fatigue,Wheelchairs
Addison's Disease,Decreased Stamina/Fatigue,Aide/Assistant/Attendant
Addison's Disease,Decreased Stamina/Fatigue,Ergonomic Assessments
Addison's Disease,Decreased Stamina/Fatigue,Flexible Schedule
Addison's Disease,Decreased Stamina/Fatigue,Job Restructuring
Addison's Disease,Decreased Stamina/Fatigue,Periodic Rest Breaks
Addison's Disease,Decreased Stamina/Fatigue,Task Rotation
Addison's Disease,Decreased Stamina/Fatigue,"Telework, Work from Home, Working Remotely"
Addison's Disease,Decreased Stamina/Fatigue,Worksite Redesign / Modified Workspace
Addison's Disease,Dietary Needs,Flexible Schedule
Addison's Disease,Dietary Needs,Mini Refrigerators/ Electric Coolers
Addison's Disease,Dietary Needs,Policy Modification
Addison's Disease,Low Vision,Screen Magnification Software
Addison's Disease,Low Vision,Screen Magnification and Screen Reading Combined
Addison's Disease,Low Vision,External Computer Screen Magnification
Addison's Disease,Low Vision,Portable Video/Electronic Magnifiers
Addison's Disease,Low Vision,Magnification (Hand or Stand)
Addison's Disease,Low Vision,Head-mounted Magnifiers
Addison's Disease,Low Vision,Apps for Individuals with Vision Impairment
Addison's Disease,Low Vision,Enlarged Keyboard Tops and Labels
Addison's Disease,Low Vision,Lighted Reading Glasses
Addison's Disease,Low Vision,Low Vision Office Supplies
Addison's Disease,Low Vision,Accessible Mobile Phones
Addison's Disease,Low Vision,Accessible Telephones
Addison's Disease,Low Vision,Large Button Phones
Addison's Disease,Low Vision,Large Visual Display for Telephone
Addison's Disease,Nausea,Flexible Schedule
Addison's Disease,Nausea,Mini Refrigerators/ Electric Coolers
