Addison's Disease, Fatigue, Extra rest breaks during the day
Addison's Disease, Weakness, Permission to keep snacks or electrolyte drinks at the workstation
Aging, Decreased Mobility, Elevator or ramp access
Aging, Memory Issues, Extra time on assignments or exams
Albinism, Light Sensitivity, Permission to wear sunglasses or hats indoors
Albinism, Low Vision, Text-to-speech software or audiobooks
Alcoholism, Memory Loss, Permission for a support person to attend meetings
Alcoholism, Mood Swings, Access to mental health services
Allergies, Environmental Sensitivity, Allergen-free zones or designated workspaces
Allergies, Food Allergy, Permission to bring food from home if cafeteria options are not safe
Alzheimer's Disease, Memory Impairment, Frequent reminders or check-ins from supervisors
Alzheimer's Disease, Cognitive Impairment, Reduced workload or extra time to complete tasks
Amputation, Limited Range of Motion, Access to assistive devices (e.g., reaching aids)
Amputation, Prosthesis Use, Adjustable workstation for comfort
ALS (Lou Gehrig's Disease), Muscle Weakness, Voice-activated technology
ALS (Lou Gehrig's Disease), Speech Impairment, Text-based communication tools (e.g., chat software)
Anxiety Disorder, Stress Intolerance, Permission to take breaks in a quiet room
Anxiety Disorder, Panic Attacks, Ability to leave the room when overwhelmed
Arthritis, Joint Pain, Speech-to-text software to reduce typing
Arthritis, Limited Mobility, Reserved parking close to the building
Ataxia, Coordination Issues, Permission to use mobility aids (e.g., walker, wheelchair)
ADHD, Inattention, Extra time on tests or assignments
ADHD, Impulsivity, Scheduled breaks to allow for movement
Autism Spectrum, Sensory Sensitivity, Noise-canceling headphones
Autism Spectrum, Social Interaction Difficulty, A designated support person for social situations
Back Impairment, Pain, Permission to alternate between sitting and standing
Back Impairment, Limited Mobility, Access to ergonomic seating
Bipolar Disorder, Mood Swings, Flexible scheduling to accommodate mood fluctuations
Bipolar Disorder, Sleep Issues, Permission to start work or school later in the day
Bladder Impairment, Frequent Urination, Permission for unlimited restroom access
Bleeding Disorder, Bruising, Permission to wear protective clothing
Blindness, No Vision, Screen reader software
Blindness, Low Vision, Tactile or Braille signage
Brain Injury, Cognitive Impairment, Extended deadlines for tasks
Brain Injury, Mood Swings, Access to counseling services
Burn Injury, Skin Sensitivity, Temperature-controlled environment
Cancer, Fatigue, Flexible work or school hours
Cancer, Weakness, Permission to work from home when needed
Cataplexy, Sudden Muscle Weakness, Permission to work seated to reduce risk of falls
Cerebral Palsy, Limited Mobility, Accessible classroom or workspace layout
Cerebral Palsy, Speech Impairment, Permission to use communication devices during class or meetings
